idade,genero,estado,frequencia,combustivel,abastecimento,renda,posto,importancia,fidelidade-postos,aplicativo,motivo,conveniencia,classificacao
36-49 anos,Feminino,Acre,Quinzenalmente,GNV,Conforme o uso,Locomoção para o trabalho,Petrobras,Qualidade do combustível,Sim,Conheço e utilizo,Cashback,Não,5
18-24 anos,Masculino,Rondonia,2-4 vezes na semana,Gasolina Aditivada,Conforme o uso,Locomoção para o trabalho,Petrobras,Preço,Sim,Conheço e utilizo,Cashback,Não,5
25-35 anos,Feminino,Pernambuco,Quinzenalmente,Elétrico,Sempre completo,Principal fonte de renda,Petrobras,Localização,Não,Não conheço,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Maranhao,Semanalmente,Elétrico,Completo as vezes,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Conheço e utilizo,Não utilizo aplicativos/programas de fidelidade,Não,5
Mais de 50 anos,Feminino,Rio Grande do Sul,Quinzenalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Petrobras,Loja de Conveniência,Sim,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Maranhao,Quinzenalmente,GNV,Conforme o uso,Principal fonte de renda,Petrobras,Loja de Conveniência,Não,Não conheço,Descontos em abastecimento/serviços,Não,3
Mais de 50 anos,Feminino,Bahia,Quinzenalmente,Etanol,Completo as vezes,Lazer,Petrobras,Qualidade do combustível,Não,Utilizo outros,Descontos em abastecimento/serviços,Sim,5
Mais de 50 anos,Masculino,Mato Grosso,Quinzenalmente,Diesel,Conforme o uso,Principal fonte de renda,Petrobras,Localização,Não,Conheço mas não utilizo,Cashback,Não,4
25-35 anos,Feminino,Sergipe,Semanalmente,Gasolina Aditivada,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
18-24 anos,Feminino,Acre,Quinzenalmente,Gasolina Aditivada,Completo as vezes,Principal fonte de renda,Petrobras,Serviços Adicionais,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
36-49 anos,Masculino,Espirito Santo,Semanalmente,Elétrico,Conforme o uso,Lazer,Petrobras,Localização,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,5
36-49 anos,Masculino,Para,Quinzenalmente,Elétrico,Sempre completo,Principal fonte de renda,Petrobras,Preço,Não,Conheço e utilizo,Descontos em abastecimento/serviços,Não,5
36-49 anos,Feminino,Espirito Santo,Diariamente,Etanol,Sempre completo,Principal fonte de renda,Petrobras,Qualidade do combustível,Sim,Conheço mas não utilizo,Descontos em abastecimento/serviços,Sim,4
18-24 anos,Feminino,Sao Paulo,Diariamente,Gasolina comum,Sempre completo,Lazer,Petrobras,Preço,Sim,Utilizo outros,Cashback,Não,5
25-35 anos,Feminino,Bahia,Semanalmente,Diesel,Sempre completo,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Conheço mas não utilizo,Cashback,Não,5
36-49 anos,Feminino,Amazonas,Semanalmente,Gasolina Aditivada,Sempre completo,Locomoção para o trabalho,Petrobras,Loja de Conveniência,Sim,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Sim,5
36-49 anos,Feminino,Goias,Diariamente,Diesel,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
36-49 anos,Feminino,Parana,Diariamente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Localização,Sim,Conheço mas não utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Maranhao,Quinzenalmente,Elétrico,Conforme o uso,Locomoção para o trabalho,Petrobras,Loja de Conveniência,Não,Utilizo outros,Cashback,Sim,5
36-49 anos,Feminino,Para,2-4 vezes na semana,Gasolina comum,Completo as vezes,Lazer,Petrobras,Localização,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Feminino,Acre,Quinzenalmente,GNV,Completo as vezes,Lazer,Petrobras,Serviços Adicionais,Não,Conheço e utilizo,Cashback,Não,5
18-24 anos,Masculino,Mato Grosso,2-4 vezes na semana,Gasolina comum,Conforme o uso,Principal fonte de renda,Petrobras,Preço,Não,Utilizo outros,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Sergipe,Quinzenalmente,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Não conheço,Cashback,Não,5
Mais de 50 anos,Feminino,Alagoas,Quinzenalmente,Gasolina Aditivada,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Sim,Utilizo outros,Cashback,Não,5
25-35 anos,Feminino,Espirito Santo,Quinzenalmente,Diesel,Conforme o uso,Principal fonte de renda,Petrobras,Qualidade do combustível,Não,Utilizo outros,Cashback,Não,5
18-24 anos,Feminino,Ceara,2-4 vezes na semana,Etanol,Sempre completo,Principal fonte de renda,Petrobras,Atendimento,Não,Não conheço,Cashback,Sim,5
25-35 anos,Masculino,Alagoas,Diariamente,Etanol,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Sim,Não conheço,Descontos em abastecimento/serviços,Sim,5
Mais de 50 anos,Masculino,Parana,2-4 vezes na semana,GNV,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Sim,Conheço mas não utilizo,Não utilizo aplicativos/programas de fidelidade,Sim,5
Mais de 50 anos,Masculino,Espirito Santo,Diariamente,Gasolina comum,Completo as vezes,Lazer,Petrobras,Serviços Adicionais,Não,Conheço mas não utilizo,Cashback,Não,5
25-35 anos,Masculino,Amazonas,Quinzenalmente,GNV,Sempre completo,Principal fonte de renda,Petrobras,Preço,Sim,Conheço mas não utilizo,Cashback,Não,5
18-24 anos,Feminino,Santa Catarina,Semanalmente,Gasolina comum,Conforme o uso,Lazer,Petrobras,Serviços Adicionais,Não,Conheço mas não utilizo,Descontos em abastecimento/serviços,Não,5
Mais de 50 anos,Feminino,Bahia,2-4 vezes na semana,Gasolina comum,Conforme o uso,Locomoção para o trabalho,Petrobras,Localização,Não,Utilizo outros,Não utilizo aplicativos/programas de fidelidade,Não,5
25-35 anos,Masculino,Para,Diariamente,Gasolina comum,Completo as vezes,Lazer,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Feminino,Tocantins,Semanalmente,Gasolina comum,Sempre completo,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Sim,5
Mais de 50 anos,Feminino,Mato Grosso do Sul,Quinzenalmente,Gasolina comum,Sempre completo,Principal fonte de renda,Petrobras,Atendimento,Não,Conheço e utilizo,Cashback,Não,5
Mais de 50 anos,Feminino,Minas Gerais,2-4 vezes na semana,Elétrico,Conforme o uso,Principal fonte de renda,Petrobras,Serviços Adicionais,Não,Utilizo outros,Cashback,Não,5
Mais de 50 anos,Masculino,Tocantins,Quinzenalmente,Diesel,Completo as vezes,Lazer,Petrobras,Loja de Conveniência,Sim,Utilizo outros,Cashback,Não,5
